Donation ID,Donor ID,Recipient ID,Item,Location,Successful?
5781,27,28,Peach Slices (canned),Tongyang,TRUE
6244,30,70,Outdoor Fire Pit,Kosti,FALSE
1430,10,86,Classic Baseball Cap,Baroh,TRUE
7810,91,73,Oats,Rio Grande,FALSE
7766,27,71,Silicone Stretch Lids,Jinanten,FALSE
3814,58,31,Sesame Ginger Dressing,Middelburg,TRUE
7715,64,65,Flavored Instant Oatmeal,Taiobeiras,TRUE
8636,14,95,Professional Chef Knife,San Isidro,TRUE
9782,26,17,Pumpkin Spice Muffins,Dobsice,TRUE
1253,91,96,Organic Green Apples,Vilaka,TRUE
9921,53,85,Apple Sauce,Meixi,TRUE
9832,88,4,Oven-Baked Chicken Tenders,Araua,TRUE
1541,10,86,Sweet BBQ Dipping Sauce,Kranj,TRUE
6156,35,54,Honeycrisp Apples,Baja Mar,TRUE
4336,7,50,Rustic Italian Bread,Malaga,TRUE
7145,2,38,Slingback Sandals,Aquitania,TRUE
6640,58,43,Egg Noodles,Hegang,TRUE
1722,87,59,Bicycle Repair Kit,Yanda Bayo,FALSE
9810,26,31,Smart Thermostat with Wi-Fi,Acandi,TRUE
3321,91,97,Heavy-Duty Utility Tote,Lekaj,TRUE
9374,23,79,Dog Frisbee Toy,Lukicevo,TRUE
7967,1,75,Sporty Cap,Longtian,TRUE
4303,48,24,Bamboo Utensil Set,Achadinha,TRUE
2802,69,25,Savory Quinoa Pudding,Neftegorsk,TRUE
9366,99,15,Mixed Berry Smoothie Pack,Jembatandua,TRUE
9624,72,89,Garden Hoses with Expandable Features,Esfarayen,TRUE
5796,3,71,Spicy Thai Noodles,Sendung,TRUE
9988,77,44,Microwave Popcorn Maker,Sao Jose do Egito,TRUE
7717,2,81,Aeropress Coffee Maker,Hanjiashu,TRUE
3920,91,4,Car Escape Tool,Khao Yoi,TRUE
7765,69,56,Canned Sardines,Tiouli,TRUE
6468,63,52,Bluetooth Tracker,Bellavista,TRUE
2876,13,21,Silicone Baking Mat Set,Bayt Liqya,TRUE
6375,63,15,Wireless Security Camera,Changhan,FALSE
2060,84,25,Coloring Books for Adults,Sakon Nakhon,TRUE
3953,84,93,Corn Tortillas,Yanglinqiao,TRUE
2121,48,15,Graphic Hoodie,San Pedro Soloma,TRUE
4494,76,56,Green Tea Matcha Powder,Brochow,TRUE
9394,82,38,Classic Pumps,Binabaan,TRUE
9301,77,83,Wireless Gaming Headset,Hwacheon County,TRUE
8120,8,38,Banana Nut Oatmeal Cups,Vinac,TRUE
8289,47,59,Pet Grooming Scissors,Lipa,TRUE
4394,36,37,Fresh Lemons,Ringan,TRUE
186,76,38,Oatmeal Raisin Cookies,Ramenki District,FALSE
279,40,11,Caramel Apple Taffy,Shangyuan,TRUE
2768,82,37,Ergonomic Gaming Chair,Floresta,TRUE
9340,13,24,Cucumber Lime Sparkling Water,Santa Barbara,TRUE
1837,6,31,Chipotle Black Bean Salad,Wajak,TRUE
7681,47,18,High-Pressure Handheld Shower Head,Duenas,TRUE
8932,40,75,Kids' Activity Book,Kemiri,TRUE
6051,80,45,Cranberry Almond Biscotti,Riangderi,TRUE
4141,68,32,Window Bird Feeder,Ornskoldsvik,TRUE
1338,69,29,LED Desk Lamp,Loudi,FALSE
2382,41,96,Ice Cube Tray with Lid,Rzeczenica,TRUE
3017,64,32,Spiced Pumpkin Soup,Qian County,TRUE
4984,72,66,Sweet Potato & Kale Hash,Rong County,TRUE
5233,33,49,Portable Leaf Blower,Sinarbakti,TRUE
4928,80,17,Tomato Paste,Mizusawa,TRUE
498,33,22,Fleece Lined Leggings,Fornos,FALSE
4160,60,83,Mini Air Hockey Table,Blois,TRUE
4404,35,37,Pumpkin Spice Cookies,Torres Novas,TRUE
4878,94,24,Roasted Garlic Butter,Zengcun,TRUE
2487,99,43,Mediterranean Couscous Salad,Agdangan,FALSE
4691,42,4,Folding Exercise Bike,Samobor,TRUE
1021,100,73,Vegetable Quinoa Bowl,Asmar,TRUE
6703,5,93,Cinnamon Sugar Mix,San Vicente,TRUE
8009,77,59,High-Quality Yoga Mat,Carpentras,TRUE
5621,90,45,Garden Tool Belt,Baraya,TRUE
3533,10,79,Peach Slices (canned),Saint Paul,TRUE
3762,64,83,Foldable Electric Scooter,Adzope,TRUE
6414,7,56,Spinach and Feta Wraps,Tugu,TRUE
8996,3,71,Corn Tortillas,Yujing District,TRUE
1890,94,28,Pita Bread,Niulanshan,TRUE
1313,72,56,Pumpkin Waffles,Kokand,TRUE
7951,72,11,Almond Flour Brownies,Santiago,TRUE
7701,58,4,Mint Chocolate Chip Ice Cream,Hariwan,FALSE
6258,35,38,Memory Foam Mattress Pad,Pavlohrad,TRUE
5310,92,31,Coconut Chia Seed Pudding,Silva Jardim,TRUE
9637,8,22,Air Purifier,Elliniko,TRUE
3891,40,19,Peach Mango Smoothie,Huambalpa District,TRUE
9821,6,78,Athletic Sports Bra,Hagondange,TRUE
